n_offset_hours,model,split,best_val_macro_auroc_difference_all_minus_explicit,macro_auroc_difference_all_minus_explicit,macro_auprc_difference_all_minus_explicit,micro_auroc_difference_all_minus_explicit,micro_auprc_difference_all_minus_explicit,pneumonia_auroc_difference_all_minus_explicit,pneumonia_auprc_difference_all_minus_explicit,pneumonia_prevalence_difference_all_minus_explicit,consolidation_auroc_difference_all_minus_explicit,consolidation_auprc_difference_all_minus_explicit,consolidation_prevalence_difference_all_minus_explicit,lung_opacity_auroc_difference_all_minus_explicit,lung_opacity_auprc_difference_all_minus_explicit,lung_opacity_prevalence_difference_all_minus_explicit,pneumothorax_auroc_difference_all_minus_explicit,pneumothorax_auprc_difference_all_minus_explicit,pneumothorax_prevalence_difference_all_minus_explicit,pleural_effusion_auroc_difference_all_minus_explicit,pleural_effusion_auprc_difference_all_minus_explicit,pleural_effusion_prevalence_difference_all_minus_explicit,pulmonary_edema_auroc_difference_all_minus_explicit,pulmonary_edema_auprc_difference_all_minus_explicit,pulmonary_edema_prevalence_difference_all_minus_explicit
8,sequence_attention,test,-0.027440945349731738,-0.020352149112320972,-0.4287797757674643,-0.06031575826138025,-0.4403596802339864,-0.04239852994916238,-0.42940053665023215,-0.37392095467686376,0.01744920993227994,-0.7025429070088175,-0.6589958158995816,-0.056189674777230136,-0.6320755332838551,-0.6527440817730821,-0.01604517771611974,-0.10636603060733071,-0.09674652689885199,-0.019030821671760734,-0.3153712958102252,-0.3317042871671661,-0.005897900491933394,-0.38692235124432506,-0.37009052185685387
8,latest_mlp,val,-0.0343970416038627,-0.0343970416038627,-0.4454466604961149,-0.04389970615528438,-0.4552945933554692,-0.06898202104438844,-0.4661516794013743,-0.37166329324919645,-0.1397924342753195,-0.7573485565219331,-0.667248032228577,0.022482236826151247,-0.6293026138333696,-0.6665656040656041,-0.0017555052509420355,-0.1226980270650738,-0.1010772108624137,-0.019606343879788102,-0.3287616663140611,-0.32417799855403845,0.0012718180011103142,-0.36841741984087717,-0.3583146284473718
8,latest_mlp,test,-0.0343970416038627,-0.02180289483457476,-0.43206014284032235,-0.053323466807974174,-0.46358446328524694,-0.015121691989111952,-0.4135752454490532,-0.37392095467686376,0.004512677362141226,-0.7131752901728726,-0.6589958158995816,-0.07324079982944409,-0.6358471897645245,-0.6527440817730821,-0.01699540959117829,-0.11792044137238492,-0.09674652689885199,-0.02220621905341047,-0.32085761007489016,-0.3317042871671661,-0.0077659259064452035,-0.3909850802082081,-0.37009052185685387
10,single_mlp,val,-0.021902880314366824,-0.021902880314366824,-0.44098562200869207,-0.06226874913062763,-0.4637919807405636,-0.041555434364396016,-0.45181752586329016,-0.37100869560546984,-0.08596295771937446,-0.7285255406362942,-0.6541599125376139,0.028432324023158873,-0.6502648646571487,-0.6687921835186912,-0.010683314948709333,-0.12717440783326311,-0.10080801656596719,-0.02891573480656895,-0.32746056893492803,-0.3367214832852982,0.007267835929688826,-0.3606708241272285,-0.3690546812527307
10,single_mlp,test,-0.021902880314366824,-0.022187003751190204,-0.4306755341485293,-0.06198697370166051,-0.47022244526867224,-0.01851536893585526,-0.442033212922333,-0.38708396213564866,-0.05363464638960058,-0.7104908395501548,-0.6574579398007385,-0.035986165856886076,-0.6246032486598644,-0.6585762622036947,0.007260805086569011,-0.0920471903683405,-0.0864571380672737,-0.01464728766325285,-0.3183668447505762,-0.33507221175675034,-0.017599358748115357,-0.39651186863990734,-0.3686645686983939
10,sequence_attention,val,-0.0047464268881461935,-0.0047464268881461935,-0.43687922743183305,-0.07135432581158474,-0.47911009621843903,-0.01690080452498266,-0.4360151294037169,-0.3671219646799117,-0.04866464804545301,-0.6989814462557338,-0.6516025641025641,0.05941303824757305,-0.6218470047296634,-0.6638739669421488,-0.005511405583208395,-0.16277865908493439,-0.1061622807017544,-0.016161575953790086,-0.31912074614112446,-0.33469917012448136,-0.0006531654690165034,-0.3825323789758251,-0.36731958762886596
10,sequence_attention,test,-0.0047464268881461935,-0.013540673090693955,-0.4285690454545294,-0.08495168615836923,-0.48430261553724674,-0.04411213319439755,-0.4458841138989774,-0.3881649820871342,-0.016872621231514784,-0.6911933503641241,-0.6593635047018107,0.006988626835932488,-0.6156096121414676,-0.6541013731215375,0.011523979716288602,-0.09909614842139229,-0.09131569121496241,-0.01996430638515423,-0.3239888551566477,-0.337633293640706,-0.018807584285319146,-0.3956421927445666,-0.36240721564060235
10,latest_mlp,val,-0.027141319706321054,-0.027141319706321054,-0.44155855799257576,-0.024379702060903674,-0.44118962583189625,-0.05362481159347565,-0.4542174897756597,-0.3671219646799117,-0.09708740176232444,-0.7362010143021605,-0.6516025641025641,0.02771570277046953,-0.6183947769887769,-0.6638739669421488,-0.015848572388370674,-0.1303095222452699,-0.1061622807017544,-0.020441853630824736,-0.3276045175355323,-0.33469917012448136,-0.0035609816333997957,-0.3826240271080551,-0.36731958762886596
10,latest_mlp,test,-0.027141319706321054,-0.010536737512440997,-0.42480661055943447,-0.019782865412506512,-0.43388793265893755,-0.014057323781913267,-0.42197519995718025,-0.3881649820871342,-0.03219285295109775,-0.7131665349654406,-0.6593635047018107,0.01883813873353135,-0.6124720188603207,-0.6541013731215375,-0.0003822921814085056,-0.09968381172999652,-0.09131569121496241,-0.02202465880664084,-0.3242972344097882,-0.337633293640706,-0.013401436087116303,-0.3772448634338803,-0.36240721564060235
12,single_mlp,val,-0.024344593113627466,-0.024344593113627466,-0.4516149309136527,-0.020800328372865384,-0.4411572170808767,-0.03587394756478712,-0.47567459773779763,-0.3926663192635053,-0.09279597303836828,-0.7412441259951014,-0.656140350877193,0.009420777833825555,-0.6308489210716466,-0.6740674380987931,-0.009749414439700121,-0.1500032770214349,-0.09983977284251092,-0.021324488905096195,-0.3284329606453209,-0.33847150166374473,0.004255487432361704,-0.3834857030106141,-0.37959652330093974
12,single_mlp,test,-0.024344593113627466,-0.004638608643803943,-0.43929130554727935,-0.023521018642487568,-0.43941187345202976,-0.027993922277189442,-0.4575574744513535,-0.39737324637744736,0.012388381455553432,-0.727574815519153,-0.6644219527431208,0.03248996580813812,-0.6224133509276701,-0.6668342733273553,-0.005963740983350174,-0.0962494685671421,-0.0859188448892636,-0.028408082227526554,-0.33624446434156047,-0.3374005571100491,-0.010344253638449041,-0.39570825947679655,-0.36399994720238643
12,sequence_attention,val,-0.019047590781868684,-0.019047590781868684,-0.45137511883399245,-0.028266392080861347,-0.4452938194566702,-0.06127790308781211,-0.49035142249448443,-0.38895232350216513,-0.04726600135406078,-0.7052050607968723,-0.654841497248374,0.002025484361878216,-0.6358321670559757,-0.6707992994738193,0.006093939439084761,-0.15585159624812628,-0.1047818759332902,-0.010839648241529276,-0.3285677070408791,-0.3404757078759051,-0.0030214158087729093,-0.3924427593676169,-0.3738647410970119
12,sequence_attention,test,-0.019047590781868684,-0.013920289915895001,-0.43741152428453334,-0.03527222032352839,-0.4380280358988582,-0.050695953198318766,-0.4793667187318066,-0.4066399957676823,-0.020677661782322665,-0.7108460847883458,-0.6674595123998741,0.02000634057971018,-0.6153600446083586,-0.6610292017613328,-0.0062015777406700945,-0.1090315745701131,-0.0864426998085833,-0.024297777455939418,-0.3281635450557912,-0.33726441034462734,-0.0016551098978300205,-0.38170117795278463,-0.35843665704415323
12,latest_mlp,val,-0.010222385008461399,-0.010222385008461399,-0.4417147951104802,-0.06182807491325004,-0.4714625135072073,-0.031939508130873984,-0.47587703056779296,-0.38895232350216513,-0.0685956797985664,-0.7118666500122753,-0.654841497248374,0.06675542251935557,-0.6257827592623681,-0.6707992994738193,0.008144927351164122,-0.1135773022886073,-0.1047818759332902,-0.03322405220747582,-0.3426547018595156,-0.3404757078759051,-0.002475419784372712,-0.38053032667232195,-0.3738647410970119
12,latest_mlp,test,-0.010222385008461399,-0.014789861967580475,-0.4371222207999774,-0.06608390137596099,-0.46996202644440316,-0.08092405247717166,-0.465133960150974,-0.4066399957676823,-0.010544748938449255,-0.7327028920469251,-0.6674595123998741,0.038259140316205476,-0.6149561760155999,-0.6610292017613328,0.0074404040102841185,-0.08902540410805179,-0.0864426998085833,-0.03257457291280086,-0.3383765256401235,-0.33726441034462734,-0.01039534180355095,-0.38253836683819004,-0.35843665704415323
