n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
2,latest_mlp,8,0.6676800038213031,22445,4851,4877,14217,3056,3039,val,0.6676800038213031,0.19952383934791343,0.6949321195002598,0.2301714336468042,0.6256133786006597,0.08583206713999647,0.060848323339995555,0.6576729465709729,0.07402785357282798,0.04602510460251046,0.6319520418690743,0.30039554749493735,0.21183605186114596,0.6333641003664574,0.047377796516705796,0.03234501347708895,0.7319276249191624,0.3911191496735917,0.20300592718035562,0.725549930601492,0.2983906216894213,0.1521208083499889
2,latest_mlp,8,0.6676800038213031,22445,4851,4877,14217,3056,3039,test,0.6608800034588057,0.19786632394640147,0.6914340343411502,0.2259036094227574,0.6089557710501419,0.09116111969624985,0.0670812972012439,0.6528272194486651,0.07357268514221707,0.04160599126274184,0.6399771180857771,0.3070618603814263,0.21873701703365184,0.616796233361654,0.05671141424300002,0.03087690407575134,0.7214183473094488,0.39328125512645185,0.21302149178255372,0.7253053314971474,0.26540960908906375,0.1425438596491228
4,single_mlp,6,0.5955206938532124,16012,3526,3380,8656,1896,1816,val,0.5955206938532124,0.2140748814929676,0.6220560554891081,0.2300378403071458,0.5497604882948312,0.09549277634026558,0.07894736842105263,0.5493715829469005,0.08473386570071587,0.07126370455856895,0.5849772770914677,0.3206667250674131,0.26491784375900834,0.5804617201559688,0.05525832819475209,0.04579278763594734,0.6589865245915101,0.411300327075335,0.28317293671624383,0.6495665700385954,0.31699726657932387,0.21391357646337725
4,single_mlp,6,0.5955206938532124,16012,3526,3380,8656,1896,1816,test,0.6079137361106636,0.22554063386293988,0.6326551162144858,0.24507136927811943,0.5669031084963914,0.1139855516260154,0.09158097686375322,0.5966011858128041,0.0796333857520744,0.05944160912638847,0.6095523244266917,0.3448790878561337,0.27384523095380925,0.5608529172234745,0.05590894381629829,0.041083655849955346,0.6570985840235105,0.44124180831828863,0.3016845329249617,0.6564742966811093,0.3175950258088289,0.21264367816091953
4,sequence_attention,8,0.6291925129990307,13752,3021,2921,8656,1896,1816,val,0.6291925129990307,0.22568016672197413,0.6661561489187606,0.2474317808366436,0.5954871641159462,0.10415313027473111,0.07862759113652609,0.5903432258979541,0.08870788848761343,0.06871000336813742,0.6127250519072405,0.33645212516574363,0.25977088948787064,0.6002823812838475,0.058202590921922814,0.04741235392320534,0.6954412614364375,0.44266733465863484,0.2766609880749574,0.6808759933527583,0.32389793082319907,0.20114326545194713
4,sequence_attention,8,0.6291925129990307,13752,3021,2921,8656,1896,1816,test,0.6202293345582002,0.22904788823107727,0.6596061448780601,0.25200821486516634,0.5716685252782723,0.10895320278895132,0.08796123742079762,0.608128734940011,0.08932436710824879,0.06147968044459882,0.6227297015034123,0.3581280328489589,0.2738012508686588,0.5736349034872621,0.054243290366507324,0.043403375818119184,0.6730745304095539,0.4454378662374241,0.29730687455705174,0.6721396117306898,0.31820057003637314,0.20325805257312107
4,latest_mlp,12,0.6045001323741029,13752,3021,2921,8656,1896,1816,val,0.6045001323741029,0.21620071225761872,0.6460119876750876,0.23730838031227072,0.5548822201847803,0.09430455710877743,0.07862759113652609,0.5607426514909761,0.0838229614097552,0.06871000336813742,0.5966525512032385,0.32699771506761155,0.25977088948787064,0.5661325118605076,0.0547813206039916,0.04741235392320534,0.6765327088491284,0.42012348456986337,0.2766609880749574,0.6720581506559862,0.31717423478571316,0.20114326545194713
4,latest_mlp,12,0.6045001323741029,13752,3021,2921,8656,1896,1816,test,0.6052249102447319,0.22662855300875032,0.6478260066088035,0.24944038628444098,0.5529617726306165,0.1194063861614869,0.08796123742079762,0.5947728612829166,0.08063317714671983,0.06147968044459882,0.6031000291453137,0.337698767451613,0.2738012508686588,0.5566072786094391,0.06214747551598247,0.043403375818119184,0.6636956442033808,0.45113771155289173,0.29730687455705174,0.6602118755967253,0.3087478002238081,0.20325805257312107
6,single_mlp,8,0.5822388803940676,13728,2983,2906,7137,1541,1516,val,0.5822388803940676,0.23026995149105892,0.610437492602302,0.24687487497744914,0.5379987981537596,0.09987328156471997,0.08949837603753158,0.5556111794490374,0.09694560091883049,0.08005473828258639,0.5563890278009298,0.3336044226288965,0.29189373297002724,0.582393192907295,0.06314637952304165,0.05083022704168079,0.6314248862669515,0.4458786302059846,0.3278008298755187,0.6296161977864321,0.34217139410488034,0.23695652173913043
6,single_mlp,8,0.5822388803940676,13728,2983,2906,7137,1541,1516,test,0.584691769838336,0.2358311479644257,0.6152284928856385,0.25339866839883596,0.5862297128589263,0.126477952492124,0.09423294383716548,0.579774490562566,0.08825691401954819,0.06857942617214835,0.5580906870195289,0.34770022846097415,0.3001397624039133,0.5211552554024915,0.05453992284273983,0.04780048493245584,0.6281153450051493,0.46330499104777567,0.34542867307008185,0.6347851281813546,0.33470687892339224,0.2381130662673156
